[2025-10-15 13:10:31.968] [INFO] Logger initialized
[2025-10-15 13:10:31.970] [INFO] Pipeline started successfully
[2025-10-15 13:10:31.971] [INFO] Preprocessing thread started
[2025-10-15 13:10:31.977] [INFO] Inference thread started
[2025-10-15 13:10:31.978] [INFO] Metrics thread started
[2025-10-15 13:10:32.983] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:33.990] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:35.003] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:36.011] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:37.031] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:38.041] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:39.058] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:40.069] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:41.076] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:42.083] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:43.095] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:44.104] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:45.113] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:46.128] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:47.133] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:48.144] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:49.154] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:50.158] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:51.167] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:52.188] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:53.198] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:54.206] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:55.221] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:56.229] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:57.243] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:58.256] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:10:59.274] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:00.293] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:01.305] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:02.316] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:03.323] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:04.326] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:05.326] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:06.330] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:07.341] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:08.355] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:09.366] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:10.378] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:11.391] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:12.406] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:13.415] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:14.423] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:15.433] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
[2025-10-15 13:11:16.447] [INFO] Stats - FPS: 0.00, Processed: 0, Dropped: 0, Inferences: 0/0, Avg Latency: 0.0ms
